Candidate,Party,First_pref_count,First_pref_pct,Quota,Elected_on_Count,Status,Gender,Election_date,Electorate,number_of_candidates,seats_available,constituency_name,constituency_name_as_Gaeilge,quota,Outgoing,Seat
Brian Hillery,Fianna Fail,2948,0.0602,0.36,0,,Male,1981-06-11,not available,11,5,Dublin South Central,Baile Atha Cliath Theas Lar,8159,,
Seamus Ashe,Labour,693,0.014199999999999999,0.08,0,,Male,1981-06-11,not available,11,5,Dublin South Central,Baile Atha Cliath Theas Lar,8159,,
Michael Collins,Labour,1069,0.0218,0.13,0,,Male,1981-06-11,not available,11,5,Dublin South Central,Baile Atha Cliath Theas Lar,8159,,
Daniel McCarron,Non party/Independent,73,0.0015,0.01,0,,Male,1981-06-11,not available,11,5,Dublin South Central,Baile Atha Cliath Theas Lar,8159,,
Eric Byrne,Sinn Féin,2403,0.049100000000000005,0.29,0,,Male,1981-06-11,not available,11,5,Dublin South Central,Baile Atha Cliath Theas Lar,8159,,
Bobby Molloy,Fianna Fail,9592,0.1887,1.13,0,1,Male,1981-06-11,not available,12,5,Galway West,Gaillimh Thiar,8474,,
Michael D Higgins,Labour,6226,0.1225,0.73,0,2,Male,1981-06-11,not available,12,5,Galway West,Gaillimh Thiar,8474,,
John F Donnellan,Fine Gael,5065,0.09960000000000001,0.60,0,3,Male,1981-06-11,not available,12,5,Galway West,Gaillimh Thiar,8474,,
Maire Geoghegan Quinn,Fianna Fail,4549,0.0895,0.54,0,4,Female,1981-06-11,not available,12,5,Galway West,Gaillimh Thiar,8474,,
Mark Killilea Jnr,Fianna Fail,6338,0.1247,0.75,0,5,Male,1981-06-11,not available,12,5,Galway West,Gaillimh Thiar,8474,,
Henry Comerford,Fine Gael,3477,0.0684,0.41,0,,Male,1981-06-11,not available,12,5,Galway West,Gaillimh Thiar,8474,,
Padraic McCormack,Fine Gael,3859,0.0759,0.46,0,,Male,1981-06-11,not available,12,5,Galway West,Gaillimh Thiar,8474,,
Nicholas O'Connor,Fianna Fail,2471,0.048600000000000004,0.29,0,,Male,1981-06-11,not available,12,5,Galway West,Gaillimh Thiar,8474,,
Frank Fahey,Fianna Fail,5049,0.0993,0.60,0,,Male,1981-06-11,not available,12,5,Galway West,Gaillimh Thiar,8474,,
James Brick,Sinn Féin,1081,0.0213,0.13,0,,Male,1981-06-11,not available,12,5,Galway West,Gaillimh Thiar,8474,,
Pol O Foighil,Fine Gael,2849,0.055999999999999994,0.34,0,,Male,1981-06-11,not available,12,5,Galway West,Gaillimh Thiar,8474,,
Anthony Coffey,Non party/Independent,284,0.005600000000000001,0.03,0,,Male,1981-06-11,not available,12,5,Galway West,Gaillimh Thiar,8474,,
Thomas McEllistrim,Fianna Fail,8214,0.2396,0.96,0,1,Male,1981-06-11,not available,7,3,Kerry North,Ciarrai Thuaidh,8572,,
Denis Foley,Fianna Fail,5104,0.1489,0.60,0,2,Male,1981-06-11,not available,7,3,Kerry North,Ciarrai Thuaidh,8572,,
Dick Spring,Labour,5685,0.16579999999999998,0.66,0,3,Male,1981-06-11,not available,7,3,Kerry North,Ciarrai Thuaidh,8572,,
Fionan Harty,Fine Gael,2227,0.065,0.26,0,,Male,1981-06-11,not available,7,3,Kerry North,Ciarrai Thuaidh,8572,,
Seán McKenna,Non party/Independent,3860,0.11259999999999999,0.45,0,,Male,1981-06-11,not available,7,3,Kerry North,Ciarrai Thuaidh,8572,,
Kit Ahern,Fianna Fail,4158,0.1213,0.49,0,,Female,1981-06-11,not available,7,3,Kerry North,Ciarrai Thuaidh,8572,,
Gerard M Lynch,Fine Gael,5037,0.1469,0.59,0,,Male,1981-06-11,not available,7,3,Kerry North,Ciarrai Thuaidh,8572,,
Michael Moynihan,Labour,8221,0.2447,0.98,0,1,Male,1981-06-11,not available,7,3,Kerry South,Ciarrai Theas,8399,,
John O'Leary,Fianna Fail,7383,0.2198,0.88,0,2,Male,1981-06-11,not available,7,3,Kerry South,Ciarrai Theas,8399,,
Michael Begley,Fine Gael,6144,0.18289999999999998,0.73,0,3,Male,1981-06-11,not available,7,3,Kerry South,Ciarrai Theas,8399,,
Timothy O'Connor,Fianna Fail,4702,0.14,0.56,0,,Male,1981-06-11,not available,7,3,Kerry South,Ciarrai Theas,8399,,
Michael O'Connell,Non party/Independent,1600,0.047599999999999996,0.19,0,,Male,1981-06-11,not available,7,3,Kerry South,Ciarrai Theas,8399,,
John O'Donoghue,Fianna Fail,3780,0.1125,0.45,0,,Male,1981-06-11,not available,7,3,Kerry South,Ciarrai Theas,8399,,
Patrick O'Connor,Fine Gael,1763,0.0525,0.21,0,,Male,1981-06-11,not available,7,3,Kerry South,Ciarrai Theas,8399,,
Paddy Power,Fianna Fail,9768,0.2076,1.25,0,1,Male,1981-06-11,not available,10,5,Kildare,Cill Dara,7844,,
Charlie McCreevy,Fianna Fail,7053,0.1499,0.90,0,2,Male,1981-06-11,not available,10,5,Kildare,Cill Dara,7844,,
Joe Bermingham,Labour,5803,0.1233,0.74,0,3,Male,1981-06-11,not available,10,5,Kildare,Cill Dara,7844,,
Bernard J Durkan,Fine Gael,5612,0.1193,0.72,0,4,Male,1981-06-11,not available,10,5,Kildare,Cill Dara,7844,,
Alan Dukes,Fine Gael,4762,0.1012,0.61,0,5,Male,1981-06-11,not available,10,5,Kildare,Cill Dara,7844,,
Gerry Brady,Fianna Fail,3584,0.0762,0.46,0,,Male,1981-06-11,not available,10,5,Kildare,Cill Dara,7844,,
Martin Miley Snr,Fianna Fail,2479,0.0527,0.32,0,,Male,1981-06-11,not available,10,5,Kildare,Cill Dara,7844,,
Patrick Lawlor,Fine Gael,4469,0.095,0.57,0,,Male,1981-06-11,not available,10,5,Kildare,Cill Dara,7844,,
Evelyn Bracken,Non party/Independent,698,0.0148,0.09,0,,Female,1981-06-11,not available,10,5,Kildare,Cill Dara,7844,,
Emmet Stagg,Labour,2832,0.0602,0.36,0,,Male,1981-06-11,not available,10,5,Kildare,Cill Dara,7844,,
Oliver J Flanagan,Fine Gael,9177,0.16390000000000002,0.98,0,1,Male,1981-06-11,not available,11,5,Laoighis Offaly,Laois Uibh Fhaili,9334,,
Liam Hyland,Fianna Fail,8952,0.15990000000000001,0.96,0,2,Male,1981-06-11,not available,11,5,Laoighis Offaly,Laois Uibh Fhaili,9334,,
Ger C Connolly,Fianna Fail,8467,0.1512,0.91,0,3,Male,1981-06-11,not available,11,5,Laoighis Offaly,Laois Uibh Fhaili,9334,,
Tom Enright,Fine Gael,6409,0.1144,0.69,0,4,Male,1981-06-11,not available,11,5,Laoighis Offaly,Laois Uibh Fhaili,9334,,
Bernard F Cowen,Fianna Fail,6892,0.1231,0.74,0,5,Male,1981-06-11,not available,11,5,Laoighis Offaly,Laois Uibh Fhaili,9334,,
Charles McDonald,Fine Gael,5010,0.0895,0.54,0,,Male,1981-06-11,not available,11,5,Laoighis Offaly,Laois Uibh Fhaili,9334,,
Joe McCormack,Non party/Independent,201,0.0036,0.02,0,,Male,1981-06-11,not available,11,5,Laoighis Offaly,Laois Uibh Fhaili,9334,,
Francis Dunne,Non party/Independent,191,0.0034000000000000002,0.02,0,,Male,1981-06-11,not available,11,5,Laoighis Offaly,Laois Uibh Fhaili,9334,,
Gerry McGuire,Labour,2394,0.042699999999999995,0.26,0,,Male,1981-06-11,not available,11,5,Laoighis Offaly,Laois Uibh Fhaili,9334,,
Jeremiah Lodge,Fianna Fail,3618,0.0646,0.39,0,,Male,1981-06-11,not available,11,5,Laoighis Offaly,Laois Uibh Fhaili,9334,,
Johnny Butterfield,Fine Gael,4691,0.08380000000000001,0.50,0,,Male,1981-06-11,not available,11,5,Laoighis Offaly,Laois Uibh Fhaili,9334,,
Tom G O'Donnell,Fine Gael,9915,0.2041,1.22,0,1,Male,1981-06-11,not available,12,5,Limerick East,Luimneach Thoir,8099,,
Des O'Malley,Fianna Fail,9346,0.1923,1.15,0,2,Male,1981-06-11,not available,12,5,Limerick East,Luimneach Thoir,8099,,
Michael Noonan,Fine Gael,4311,0.08869999999999999,0.53,0,3,Male,1981-06-11,not available,12,5,Limerick East,Luimneach Thoir,8099,,
Jim Kemmy,Non party/Independent,4190,0.0862,0.52,0,4,Male,1981-06-11,not available,12,5,Limerick East,Luimneach Thoir,8099,,
Peadar Clohessy,Fianna Fail,5256,0.1082,0.65,0,5,Male,1981-06-11,not available,12,5,Limerick East,Luimneach Thoir,8099,,
John Frawley,Non party/Independent,866,0.0178,0.11,0,,Male,1981-06-11,not available,12,5,Limerick East,Luimneach Thoir,8099,,
Joseph Harrington,Non party/Independent,844,0.0174,0.10,0,,Male,1981-06-11,not available,12,5,Limerick East,Luimneach Thoir,8099,,
Frank Prendergast,Labour,2840,0.0584,0.35,0,,Male,1981-06-11,not available,12,5,Limerick East,Luimneach Thoir,8099,,
Eamonn Cregan,Fianna Fail,1636,0.0337,0.20,0,,Male,1981-06-11,not available,12,5,Limerick East,Luimneach Thoir,8099,,
Michael Lipper,Labour,2905,0.059800000000000006,0.36,0,,Male,1981-06-11,not available,12,5,Limerick East,Luimneach Thoir,8099,,
Richard Hourigan,Fine Gael,2184,0.0449,0.27,0,,Male,1981-06-11,not available,12,5,Limerick East,Luimneach Thoir,8099,,
Willie O'Dea,Fianna Fail,4297,0.08839999999999999,0.53,0,,Male,1981-06-11,not available,12,5,Limerick East,Luimneach Thoir,8099,,
Gerry Collins,Fianna Fail,14776,0.44520000000000004,1.78,0,1,Male,1981-06-11,not available,4,3,Limerick West,Luimneach Thiar,8298,,
William O'Brien,Fine Gael,8676,0.2614,1.05,0,2,Male,1981-06-11,not available,4,3,Limerick West,Luimneach Thiar,8298,,
Michael J Noonan,Fianna Fail,6579,0.19820000000000002,0.79,0,3,Male,1981-06-11,not available,4,3,Limerick West,Luimneach Thiar,8298,,
Donal Sheehan,Fine Gael,3158,0.09519999999999999,0.38,0,,Male,1981-06-11,not available,4,3,Limerick West,Luimneach Thiar,8298,,
Albert Reynolds,Fianna Fail,10450,0.2304,1.15,0,1,Male,1981-06-11,not available,9,4,Longford Westmeath,An Longfort An Lar Mhi,9074,,
Paddy M Cooney,Fine Gael,8244,0.18170000000000003,0.91,0,2,Male,1981-06-11,not available,9,4,Longford Westmeath,An Longfort An Lar Mhi,9074,,
Gerry L'Estrange,Fine Gael,5499,0.12119999999999999,0.61,0,3,Male,1981-06-11,not available,9,4,Longford Westmeath,An Longfort An Lar Mhi,9074,,
Seán Keegan,Fianna Fail,5476,0.1207,0.60,0,4,Male,1981-06-11,not available,9,4,Longford Westmeath,An Longfort An Lar Mhi,9074,,
Martin Hurson,Non party/Independent,4573,0.1008,0.50,0,,Male,1981-06-11,not available,9,4,Longford Westmeath,An Longfort An Lar Mhi,9074,,
James Bennett,Labour,2826,0.0623,0.31,0,,Male,1981-06-11,not available,9,4,Longford Westmeath,An Longfort An Lar Mhi,9074,,
Seán Fallon,Fianna Fail,5285,0.1165,0.58,0,,Male,1981-06-11,not available,9,4,Longford Westmeath,An Longfort An Lar Mhi,9074,,
Gus Hanley,Fine Gael,2619,0.057699999999999994,0.29,0,,Male,1981-06-11,not available,9,4,Longford Westmeath,An Longfort An Lar Mhi,9074,,
Neil O'Shea,Labour,393,0.0087,0.04,0,,Male,1981-06-11,not available,9,4,Longford Westmeath,An Longfort An Lar Mhi,9074,,
Seán Calleary,Fianna Fail,7248,0.22399999999999998,0.90,0,1,Male,1981-06-11,not available,6,3,Mayo East,(Connaught),8088,,
P J Morley,Fianna Fail,6829,0.21109999999999998,0.84,0,2,Male,1981-06-11,not available,6,3,Mayo East,(Connaught),8088,,
Paddy O'Toole,Fine Gael,6569,0.20309999999999997,0.81,0,3,Male,1981-06-11,not available,6,3,Mayo East,(Connaught),8088,,
John Bolingbrook,Fianna Fail,3367,0.1041,0.42,0,,Male,1981-06-11,not available,6,3,Mayo East,(Connaught),8088,,
Jim Higgins,Fine Gael,3829,0.1184,0.47,0,,Male,1981-06-11,not available,6,3,Mayo East,(Connaught),8088,,
Martin Finn,Fine Gael,4509,0.1394,0.56,0,,Male,1981-06-11,not available,6,3,Mayo East,(Connaught),8088,,
Enda Kenny,Fine Gael,8458,0.2634,1.05,0,1,Male,1981-06-11,not available,6,3,Mayo West,(Connaught),8028,,
Denis Gallagher,Fianna Fail,7741,0.24109999999999998,0.96,0,2,Male,1981-06-11,not available,6,3,Mayo West,(Connaught),8028,,
Padraig Flynn,Fianna Fail,6605,0.2057,0.82,0,3,Male,1981-06-11,not available,6,3,Mayo West,(Connaught),8028,,
Timothy Quinn,Fianna Fail,3010,0.09369999999999999,0.37,0,,Male,1981-06-11,not available,6,3,Mayo West,(Connaught),8028,,
Patrick Kilbane,Fine Gael,1982,0.0617,0.25,0,,Male,1981-06-11,not available,6,3,Mayo West,(Connaught),8028,,
Patrick Durcan,Fine Gael,4312,0.1343,0.54,0,,Male,1981-06-11,not available,6,3,Mayo West,(Connaught),8028,,
John Bruton,Fine Gael,11574,0.2286,1.37,0,1,Male,1981-06-11,not available,10,5,Meath,An Mhi,8441,,
Brendan Crinion,Fianna Fail,6623,0.1308,0.78,0,2,Male,1981-06-11,not available,10,5,Meath,An Mhi,8441,,
James Tully,Labour,4313,0.0852,0.51,0,3,Male,1981-06-11,not available,10,5,Meath,An Mhi,8441,,
Jim Fitzsimons,Fianna Fail,5535,0.1093,0.66,0,4,Male,1981-06-11,not available,10,5,Meath,An Mhi,8441,,
John V Farrelly,Fine Gael,3331,0.0658,0.39,0,5,Male,1981-06-11,not available,10,5,Meath,An Mhi,8441,,
Michael Lynch,Fianna Fail,6164,0.1217,0.73,0,,Male,1981-06-11,not available,10,5,Meath,An Mhi,8441,,
Seán Conway,Fianna Fail,4042,0.07980000000000001,0.48,0,,Male,1981-06-11,not available,10,5,Meath,An Mhi,8441,,
Frank McLoughlin,Labour,4328,0.0855,0.51,0,,Male,1981-06-11,not available,10,5,Meath,An Mhi,8441,,
Frank McDermott,Fine Gael,2249,0.0444,0.27,0,,Male,1981-06-11,not available,10,5,Meath,An Mhi,8441,,
Dermot Forde,Non party/Independent,2481,0.049,0.29,0,,Male,1981-06-11,not available,10,5,Meath,An Mhi,8441,,
Ray MacSharry,Fianna Fail,10818,0.2268,1.13,0,1,Male,1981-06-11,not available,9,4,Sligo Leitrim,Sligeach Liatroim,9538,,
Ted Nealon,Fine Gael,6292,0.1319,0.66,0,2,Male,1981-06-11,not available,9,4,Sligo Leitrim,Sligeach Liatroim,9538,,
John Ellis,Fianna Fail,7121,0.1493,0.75,0,3,Male,1981-06-11,not available,9,4,Sligo Leitrim,Sligeach Liatroim,9538,,
Joe McCartin,Fine Gael,5927,0.1243,0.62,0,4,Male,1981-06-11,not available,9,4,Sligo Leitrim,Sligeach Liatroim,9538,,
Matt Brennan,Fianna Fail,5848,0.1226,0.61,0,,Male,1981-06-11,not available,9,4,Sligo Leitrim,Sligeach Liatroim,9538,,
Richard Lacy,Labour,361,0.0076,0.04,0,,Male,1981-06-11,not available,9,4,Sligo Leitrim,Sligeach Liatroim,9538,,
Declan Bree,Non party/Independent,934,0.0196,0.10,0,,Male,1981-06-11,not available,9,4,Sligo Leitrim,Sligeach Liatroim,9538,,
Tony McLoughlin,Fine Gael,4749,0.09960000000000001,0.50,0,,Male,1981-06-11,not available,9,4,Sligo Leitrim,Sligeach Liatroim,9538,,
Joseph McDonnell,Non party/Independent,5639,0.1182,0.59,0,,Male,1981-06-11,not available,9,4,Sligo Leitrim,Sligeach Liatroim,9538,,
Michael Smith,Fianna Fail,8502,0.26280000000000003,1.05,0,1,Male,1981-06-11,not available,7,3,Tipperary North,Tiobraid Arann Thuaidh,8087,,
John J Ryan,Labour,7504,0.23199999999999998,0.93,0,2,Male,1981-06-11,not available,7,3,Tipperary North,Tiobraid Arann Thuaidh,8087,,
David Molony,Fine Gael,6850,0.2118,0.85,0,3,Male,1981-06-11,not available,7,3,Tipperary North,Tiobraid Arann Thuaidh,8087,,
Joey O'Connor,Non party/Independent,586,0.0181,0.07,0,,Male,1981-06-11,not available,7,3,Tipperary North,Tiobraid Arann Thuaidh,8087,,
Des A Hanafin,Fianna Fail,4307,0.1332,0.53,0,,Male,1981-06-11,not available,7,3,Tipperary North,Tiobraid Arann Thuaidh,8087,,
Ger Ryan,Fianna Fail,1960,0.060599999999999994,0.24,0,,Male,1981-06-11,not available,7,3,Tipperary North,Tiobraid Arann Thuaidh,8087,,
Tom Berkery,Fine Gael,2637,0.0815,0.33,0,,Male,1981-06-11,not available,7,3,Tipperary North,Tiobraid Arann Thuaidh,8087,,
Seán Treacy,Labour,8989,0.21530000000000002,1.08,0,1,Male,1981-06-11,not available,9,4,Tipperary South,Tiobraid Arann Theas,8351,,
Brendan Griffin,Fine Gael,6590,0.1578,0.79,0,2,Male,1981-06-11,not available,9,4,Tipperary South,Tiobraid Arann Theas,8351,,
Dr Seán McCarthy,Fianna Fail,5716,0.1369,0.68,0,3,Male,1981-06-11,not available,9,4,Tipperary South,Tiobraid Arann Theas,8351,,
Carrie Acheson,Fianna Fail,5838,0.1398,0.70,0,4,Female,1981-06-11,not available,9,4,Tipperary South,Tiobraid Arann Theas,8351,,
John Crowe,Fine Gael,2596,0.0622,0.31,0,,Male,1981-06-11,not available,9,4,Tipperary South,Tiobraid Arann Theas,8351,,
Louise Farrell,Fine Gael,1144,0.0274,0.14,0,,Female,1981-06-11,not available,9,4,Tipperary South,Tiobraid Arann Theas,8351,,
T J Maher,Non party/Independent,3728,0.08929999999999999,0.45,0,,Male,1981-06-11,not available,9,4,Tipperary South,Tiobraid Arann Theas,8351,,
Seán Byrne,Fianna Fail,5737,0.1374,0.69,0,,Male,1981-06-11,not available,9,4,Tipperary South,Tiobraid Arann Theas,8351,,
Terence Darmody,Fine Gael,1413,0.0338,0.17,0,,Male,1981-06-11,not available,9,4,Tipperary South,Tiobraid Arann Theas,8351,,
Austin Deasy,Fine Gael,8625,0.1973,0.99,0,1,Male,1981-06-11,not available,9,4,Waterford,Port Lairge,8745,,
Jackie Fahey,Fianna Fail,8314,0.1902,0.95,0,2,Male,1981-06-11,not available,9,4,Waterford,Port Lairge,8745,,
Edward Collins,Fine Gael,6022,0.1377,0.69,0,3,Male,1981-06-11,not available,9,4,Waterford,Port Lairge,8745,,
Billy Kenneally Jnr,Fianna Fail,5183,0.1185,0.59,0,4,Male,1981-06-11,not available,9,4,Waterford,Port Lairge,8745,,
Paddy Gallagher,Sinn Féin,3463,0.07919999999999999,0.40,0,,Male,1981-06-11,not available,9,4,Waterford,Port Lairge,8745,,
Kevin Lynch,Non party/Independent,3337,0.07629999999999999,0.38,0,,Male,1981-06-11,not available,9,4,Waterford,Port Lairge,8745,,
Katharine Bulbulia,Fine Gael,3691,0.08439999999999999,0.42,0,,Female,1981-06-11,not available,9,4,Waterford,Port Lairge,8745,,
William Kyne,Labour,1632,0.0373,0.19,0,,Male,1981-06-11,not available,9,4,Waterford,Port Lairge,8745,,
Brian Swift,Fianna Fail,3456,0.079,0.40,0,,Male,1981-06-11,not available,9,4,Waterford,Port Lairge,8745,,
Michael D'Arcy Snr,Fine Gael,10290,0.2065,1.03,0,1,Male,1981-06-11,not available,11,4,Wexford,Loch Garman,9965,,
Ivan Yates,Fine Gael,5522,0.1108,0.55,0,2,Male,1981-06-11,not available,11,4,Wexford,Loch Garman,9965,,
Lorcan Allen,Fianna Fail,7465,0.14980000000000002,0.75,0,3,Male,1981-06-11,not available,11,4,Wexford,Loch Garman,9965,TD,
Brendan Corish,Labour,5265,0.1057,0.53,0,4,Male,1981-06-11,not available,11,4,Wexford,Loch Garman,9965,,
Hugh Byrne,Fianna Fail,6353,0.1275,0.64,0,5,Male,1981-06-11,not available,11,4,Wexford,Loch Garman,9965,,
John Teehan,Non party/Independent,447,0.009000000000000001,0.04,0,,Male,1981-06-11,not available,11,4,Wexford,Loch Garman,9965,,
Denis North,Labour,1523,0.030600000000000002,0.15,0,,Male,1981-06-11,not available,11,4,Wexford,Loch Garman,9965,,
Louise Hennessy,Fine Gael,2210,0.0444,0.22,0,,Female,1981-06-11,not available,11,4,Wexford,Loch Garman,9965,,
James Hayes,Non party/Independent,536,0.0108,0.05,0,,Male,1981-06-11,not available,11,4,Wexford,Loch Garman,9965,,
Gus Byrne,Fianna Fail,4350,0.0873,0.44,0,,Male,1981-06-11,not available,11,4,Wexford,Loch Garman,9965,,
Seán Browne,Fianna Fail,5859,0.1176,0.59,0,,Male,1981-06-11,not available,11,4,Wexford,Loch Garman,9965,,
Ciaran Murphy,Fianna Fail,5881,0.1433,0.72,0,1,Male,1981-06-11,not available,11,4,Wicklow,Cill Mhantain,8211,,
Godfrey Timmins,Fine Gael,6899,0.1681,0.84,0,2,Male,1981-06-11,not available,11,4,Wicklow,Cill Mhantain,8211,,
Paudge Brennan,Fianna Fail,5019,0.1223,0.61,0,3,Male,1981-06-11,not available,11,4,Wicklow,Cill Mhantain,8211,,
Liam Kavanagh,Labour,5894,0.1436,0.72,0,4,Male,1981-06-11,not available,11,4,Wicklow,Cill Mhantain,8211,,
George Jones,Fine Gael,1925,0.046900000000000004,0.23,0,,Male,1981-06-11,not available,11,4,Wicklow,Cill Mhantain,8211,,
Declan Connolly,Fianna Fail,3763,0.0917,0.46,0,,Male,1981-06-11,not available,11,4,Wicklow,Cill Mhantain,8211,,
Richard O'Carroll,Non party/Independent,734,0.0179,0.09,0,,Male,1981-06-11,not available,11,4,Wicklow,Cill Mhantain,8211,,
John McManus,Sinn Féin,2974,0.0724,0.36,0,,Male,1981-06-11,not available,11,4,Wicklow,Cill Mhantain,8211,,
Gemma Hussey,Fine Gael,5524,0.1346,0.67,0,,Female,1981-06-11,not available,11,4,Wicklow,Cill Mhantain,8211,,
Jim Tallon,Non party/Independent,65,0.0016,0.01,0,,Male,1981-06-11,not available,11,4,Wicklow,Cill Mhantain,8211,,
Jim Ruttle,Fianna Fail,2372,0.057800000000000004,0.29,0,,Male,1981-06-11,not available,11,4,Wicklow,Cill Mhantain,8211,,
Jim Gibbons Snr,Fianna Fail,8910,0.1641,0.98,0,1,Male,1982-02-18,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9047,,
Liam Aylward,Fianna Fail,8844,0.1629,0.98,0,2,Male,1982-02-18,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9047,,
Kieran Crotty,Fine Gael,7869,0.145,0.87,0,3,Male,1982-02-18,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9047,,
Desmond Governey,Fine Gael,4663,0.0859,0.52,0,4,Male,1982-02-18,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9047,,
Seamus Pattison,Labour,5565,0.1025,0.62,0,5,Male,1982-02-18,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9047,,
Dick Dowling,Fine Gael,4506,0.083,0.50,0,,Male,1982-02-18,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9047,,
Patrick Carpenter,Fianna Fail,834,0.0154,0.09,0,,Male,1982-02-18,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9047,,
Peter McCormack,Non party/Independent,137,0.0025,0.02,0,,Male,1982-02-18,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9047,,
John McGuinness,Fianna Fail,907,0.0167,0.10,0,,Male,1982-02-18,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9047,,
Eileen Brophy,Labour,1544,0.028399999999999998,0.17,0,,Female,1982-02-18,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9047,,
Seán Walsh,Sinn Féin Workers',1753,0.0323,0.19,0,,Male,1982-02-18,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9047,,
Tom Nolan,Fianna Fail,6529,0.12029999999999999,0.72,0,,Male,1982-02-18,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9047,,
Michael Deering,Fine Gael,2220,0.0409,0.25,0,,Male,1982-02-18,not available,13,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9047,,
Brendan Daly,Fianna Fail,9819,0.2254,1.13,0,1,Male,1982-02-18,not available,9,4,Clare,An Clar,8714,,
William Loughnane Snr,Fianna Fail,8840,0.2029,1.01,0,2,Male,1982-02-18,not available,9,4,Clare,An Clar,8714,,
Sylvester Barrett,Fianna Fail,7216,0.1656,0.83,0,3,Male,1982-02-18,not available,9,4,Clare,An Clar,8714,,
Donal Carey,Fine Gael,7570,0.17370000000000002,0.87,0,4,Male,1982-02-18,not available,9,4,Clare,An Clar,8714,,
Madeleine Taylor Quinn,Fine Gael,6602,0.1515,0.76,0,,Female,1982-02-18,not available,9,4,Clare,An Clar,8714,,
Joseph O'Connell,Non party/Independent,1233,0.028300000000000002,0.14,0,,Male,1982-02-18,not available,9,4,Clare,An Clar,8714,,
Frank McTigue,Non party/Independent,100,0.0023,0.01,0,,Male,1982-02-18,not available,9,4,Clare,An Clar,8714,,
Brigid Makowski,Non party/Independent,232,0.0053,0.03,0,,Female,1982-02-18,not available,9,4,Clare,An Clar,8714,,
Agnes McCarthy,Labour,1957,0.0449,0.22,0,,Female,1982-02-18,not available,9,4,Clare,An Clar,8714,,
Jim O'Keeffe,Fine Gael,6868,0.20929999999999999,0.84,0,1,Male,1982-02-18,not available,7,3,Cork South West,Corcaigh Thiar Theas,8206,,
P J Sheehan,Fine Gael,6834,0.2082,0.83,0,2,Male,1982-02-18,not available,7,3,Cork South West,Corcaigh Thiar Theas,8206,,
Joe Walsh,Fianna Fail,7145,0.2177,0.87,0,3,Male,1982-02-18,not available,7,3,Cork South West,Corcaigh Thiar Theas,8206,,
Flor Crowley,Fianna Fail,4940,0.1505,0.60,0,,Male,1982-02-18,not available,7,3,Cork South West,Corcaigh Thiar Theas,8206,,
D F O'Sullivan,Fianna Fail,2640,0.08039999999999999,0.32,0,,Male,1982-02-18,not available,7,3,Cork South West,Corcaigh Thiar Theas,8206,,
John McCarthy,Fine Gael,2179,0.0664,0.27,0,,Male,1982-02-18,not available,7,3,Cork South West,Corcaigh Thiar Theas,8206,,
Michael J Calnan,Labour,2215,0.0675,0.27,0,,Male,1982-02-18,not available,7,3,Cork South West,Corcaigh Thiar Theas,8206,,
Paddy Harte Snr,Fine Gael,9362,0.313,1.25,0,1,Male,1982-02-18,not available,6,3,Donegal North East,Dun na nGall Thoir Thuaidh,7477,,
Hugh Conaghan,Fianna Fail,8116,0.27140000000000003,1.09,0,2,Male,1982-02-18,not available,6,3,Donegal North East,Dun na nGall Thoir Thuaidh,7477,,
Neil T Blaney,Independent Fianna Fail,7864,0.263,1.05,0,3,Male,1982-02-18,not available,6,3,Donegal North East,Dun na nGall Thoir Thuaidh,7477,,
Joachim A Loughrey,Fine Gael,2112,0.0706,0.28,0,,Male,1982-02-18,not available,6,3,Donegal North East,Dun na nGall Thoir Thuaidh,7477,,
Anne Wilkinson,Labour,493,0.0165,0.07,0,,Female,1982-02-18,not available,6,3,Donegal North East,Dun na nGall Thoir Thuaidh,7477,,
Ian McGarvey,Fianna Fail,1959,0.0655,0.26,0,,Male,1982-02-18,not available,6,3,Donegal North East,Dun na nGall Thoir Thuaidh,7477,,
Bertie Ahern,Fianna Fail,8570,0.18739999999999998,1.12,0,1,Male,1982-02-18,not available,12,5,Dublin Central,Baile Atha Cliath Lar,7624,TD,
Michael Keating,Fine Gael,8000,0.17489999999999997,1.05,0,2,Male,1982-02-18,not available,12,5,Dublin Central,Baile Atha Cliath Lar,7624,TD,
George Colley,Fianna Fail,7542,0.1649,0.99,0,3,Male,1982-02-18,not available,12,5,Dublin Central,Baile Atha Cliath Lar,7624,TD,
